CAS	Name	A	B	C	Tmin	Tmax
35693-99-3	2,2',5,5'-Tetrachlorobiphenyl	32.05198449447712	11328.718657530706	0.0	303.0	313.0
36245-88-2	2-(3-Methoxypropyl)-1H-xanthenol[2,1,9-def]isoquinoline-1,3(2H)-dione	28.839878289750423	13447.096943085227	0.0	605.0	647.0
37014-01-0	Tetrahydro-2,6-diphenyl-4H-thiopyran-4-one	41.849484065166784	16359.176310194798	0.0	1.0	386.7
37680-73-2	2,2',4,5,5'-Pentachlorobiphenyl	30.44017492938129	11144.511850091181	0.0	303.0	313.0
38444-86-9	2',3,4-Trichlorobiphenyl	7.402811073975856	3476.9034904210093	0.0	303.0	313.0
41463-86-9	4,4,4-Trifluoro-1-phenyl-1,3-dione	33.352945072018755	10582.911345909935	0.0	276.0	284.0
51112-72-2	Diisopropyltelluride	24.05740905160179	5348.905171025169	0.0	263.0	298.0
52183-94-5	2O4 1-[N-(Triphenylacetyl)-L-leucyl]proline methyl ester	40.07649354356137	14596.086904489257	0.0	313.0	366.0
52654-27-0	2 Bis(ethylene)(2,4-pentandione)iridium	29.793701138672276	10084.447724978583	0.0	283.0	311.0
58429-99-5	9,10-Dimethylbenz[a]-anthracene	39.680448907566394	16235.527490701017	0.0	379.0	396.0
59300-34-4	N-Isopropyl-N-(2-propynyl) carbamothioic acid, S-ethyl ester	30.23363304653972	8901.057142285223	0.0	298.0	313.0
59300-35-5	N-Butyl-N-(2-propynyl) carbamothioic acid, S-ethyl ester	32.72963528734526	9879.287393192815	0.0	298.0	313.0
59300-36-6	N,N-Dipropyl carbomothioic acid, S-(2-propynyl)ester	36.35459499924579	11117.318320142922	0.0	298.0	313.0
62850-21-9	2,2,5,5-Tetramethyl-3,4-di-tert-butylhexane,(1,1,2,2-Tetra-tert-butylethane)	13.71200935803419	1418.49833619861	-210.115	321.0	366.0
63147-26-2	N,N-Dimethyl-N-sulfomethaninium hydroxide	30.85671257270391	7287.681819326155	0.0	292.0	349.0
66467-05-8	Bis(propylene)-2,4-pentandionatoiridium	34.94380111276834	10965.831246874843	0.0	269.0	304.0
67316-66-9	Bis(1,1,1,5,5,5-hexafluoro(2,4-pentandione)dioxo-uranium	44.900409313383896	17683.853514194274	0.0	370.0	425.0
69090-74-0	Bis[bis(3-methylbutyl)dithio-carbamate]copper	37.30395083308724	17925.624948958648	0.0	427.0	458.0
900000-27-3	2-Methylthio-3-methylamino-6-isopropylamino-1,3,5-triazine	32.75634527442399	12208.30616305443	0.0	323.0	403.0
900000-33-1	2O4 N[N-(Trifluoroacetyl)valyl]alanine ethyl ester	37.75088259963738	13898.403621312062	0.0	323.0	424.0
900000-38-6	Hexamethylbenzene-1-chloro-2,4,6-trinitrobenzene(1:1)	33.45863372778719	11267.469894057063	0.0	478.0	631.0
900001-70-9	Bis(chloroethylene)(2,4-pentandione)iridium	31.242165317271112	10912.526401972033	0.0	281.0	298.0
900001-71-0	Bis(chloroethylene)(2,4-pentandione)-rhodium	44.4723587445963	14374.39401173579	0.0	274.0	288.0
