CAS	Tm	Tb	Hfus	Hvap	Hf	S0	LFL	UFL	T_flash	T_autoignition	RI	RIT	logP
10043-52-4	1045.15	2208.15											
10049-04-4	214.26111	284.26111											
10049-05-5	1097.15	1393.15											
10049-14-6	1309.15	1690.15											
1005-39-6	462.15												
100523-96-4	334.15												
100564-78-1	351.15												
1006-41-3	441.15												
1006-94-6	327.15												
10061-02-6	189.26111	380.92778					0.053	0.145	298.15				
1007-15-4	329.15												
1007-16-5	413.15												
100704-10-7	338.15												
10075-50-0	364.15												
10075-62-4	358.15												
10075-85-1	528.15												
1007605-44-8	364.15												
100796-79-0	373.15												
1008-89-5	268.15												
1008-91-9	412.15												
1008304-87-7	435.15												
100846-24-0	342.15												
100859-84-5	475.15												
1009-14-9	264.15												
1009-22-9	391.15												
1009-35-4	365.15												
100905-33-7	374.15												
1009813-26-6		908.45											
10099-74-8	743.15										1.782		
101-01-9	417.15												
101-02-0	296.15												
101-10-0	388.15												
101-14-4	383.15												
101-18-8	353.15												
101-37-1	300.15												
101-53-1	356.15												
101-54-2	347.15												
101-55-3	291.15												
101-61-1	360.15												
101-68-8	310.37222	587.03889							472.03889				
101-70-2	375.15												
101-72-4	350.15												
101-75-7	356.15												
101-77-9	365.37222	670.92778							463.15				
101-79-1	375.15												
101-80-4	464.15												
101-81-5	297.15												
101-82-6	283.15												
101-83-7	271.15												
101-84-8	300.92778	532.03889					0.007	0.06	388.15				
101-90-6	307.15												
101-97-3	244.15												
10101-63-0	685.15												
10102-03-1	305.45	320.15											
10102-43-9	109.26111	121.48333			81000								
10102-44-0	263.70556	294.26111			33100	240.1							
10103-60-3					-1157000								
10105-60-9	310.15												
101066-61-9	321.15												
101080-58-4	438.15												
101084-96-2	452.15												
101096-72-4	309.15												
1011-15-0	319.15												
1011-17-2	398.15												
1011-65-0	398.15												
1012-72-2	350.15												
101209-08-9	413.15												
10129-78-9	424.15												
1013-25-8	318.15												
10130-89-9	503.15												
10137-74-3	598.15												
101385-93-7	309.15												
10139-84-1	427.15												
1014-05-7	336.15												
1014-60-4	283.15												
1014-81-9	362.15												
101420-81-9	475.15												
10147-37-2	226.15												
10147-40-7	314.15												
10147-41-8	331.15												
10147-70-3	361.15												
10147-71-4	387.15												
1015-89-0	564.15												
10154-75-3	368.15												
1016-19-9	313.15												
1016-58-6	419.15												
1016-77-9	349.15												
1016-78-0	356.15												
101664-56-6	450.15												
10177-10-3	418.15												
1018256-11-5	412.15												
1019-52-9	524.15												
10190-55-3					-1053000								
101969-75-9	390.15												
10199-50-5	400.15												
10199-89-0	371.15												
102-01-2	358.15												
102-04-5	307.15												
102-06-7	422.15												
102-07-8	515.15												
102-08-9	425.15												
102-09-0	352.15												
102-25-0		488.15							349.15				
102-32-9	402.15												
102-36-3	315.15												
102-39-6	467.15												
102-47-6	270.15												
102-50-1	287.15												
102-54-5	445.92778	522.03889											
102-56-7	353.15												
102-69-2	180.15												
102-70-5	203.15												
102-71-6	293.15												
102-76-1	195.15												
102-79-4	203.15												
102-81-8		503.15							363.70556				
102-83-0	203.15												
102-85-2	193.15												
102-87-4	288.15												
102-92-1	309.15												
1020-84-4	369.15												
1020253-82-0	442.15												
10203-08-4	336.15												
10203-32-4	284.15												
10210-32-9	463.15												
10210-68-1	324.26111												
102127-34-4	352.15												
102151-33-7	382.15												
102195-80-2	311.15												
1022-13-5	369.15												
102225-55-8	323.15												
102268-15-5	426.15												
10236-60-9	407.15												
102368-13-8	438.15												
10238-21-8	446.15												
1024652-24-1	403.15												
102593-74-8	434.15												
10272-07-8	328.15												
1027730-68-2	384.15												
1028-33-7	354.15												
10287-53-3	337.15												
10294-29-8	443.15												
10294-33-4	227.03889	363.15									1.312		
10294-40-3	1653.15				-1366800								
10294-54-9	1292.15				-1442900						1.56		
10298-80-3	317.15												
103-01-5	391.15												
103-03-7	445.15												
103-04-8	337.15												
103-09-3	228.15												
103-11-7	183.15												
103-14-0	357.15												
103-16-2	393.15												
103-23-1	206.15												
103-29-7	325.15												
103-30-0	397.15												
103-36-6	280.15												
103-41-3	308.15												
103-43-5	318.15												
103-45-7	242.15										1.498		
103-46-8	335.15												
103-49-1	247.15												
103-50-4	277.15												
103-63-9	217.15												
103-65-1	174.15	432.15											
103-67-3	218.15												
103-69-5	209.15												
103-70-8	320.15												
103-71-9	240.15												
103-72-0	252.15												
103-73-1	243.15												
103-74-2	265.15												
103-76-4	234.15												
103-82-2	350.95												
103-83-3	198.15												
103-84-4	387.15			64700	-210600				446.15	813.15			
103-88-8	442.15												
103-89-9	422.15												
103-90-2	441.15									813.15			0.46
103008-51-1	304.15												
103068-64-0	348.15												
1031-93-2	339.15												
103140-12-1	332.15												
103213-32-7	444.15												
10323-20-3	429.15												
10333-68-3	377.15												
10334-26-6	473.15												
103360-04-9	333.15												
1034-01-1	372.15												
10341-26-1	354.15												
10342-59-3	259.15												
10342-83-3	319.15												
103438-88-6	322.15												
10349-57-2	568.15												
10350-10-4	485.15												
10354-00-4	399.15												
10361-37-2	1235.9278	1833.15			-860100								
103616-89-3	507.15												
10365-98-7	433.15												
10366-35-5	438.15												
10366-71-9	451.15												
10373-78-1	473.15												
10377-48-7	1118.15												
1038-95-5	418.15												
10386-27-3	345.15												
10386-28-4	394.15												
10389-51-2	423.15												
103956-09-8	422.15												
10397-58-7	448.15												
104-01-8	360.15												
104-03-0	427.15												
104-04-1	489.15												
104-10-9	382.15												
104-12-1	303.15												
104-13-2	259.15												
104-20-1	281.15												
104-21-2	357.15	543.15							485.15				
104-29-0	353.15												
104-40-5	318.15												
104-47-2	281.15												
104-51-8	185.15												
104-53-0	231.15												
104-63-2	243.15												
104-66-5	368.15												
104-75-6	197.15												
104-76-7	197.15												
104-78-9	213.15												
104-81-4	308.15												
104-82-5	278.15												
104-83-6	300.15	493.75											
104-84-7	285.15												
104-85-8	301.15												
104-87-0	267.15												
104-88-1	319.15												
104-90-5	202.15												
104-92-7	284.15												
104-93-8	223.15												
104-94-9	330.37222	519.26111								788.15			
104-95-0	312.15												
10403-47-1	412.15												
1040681-74-0	365.15												
10413-34-0	365.15												
104197-13-9	323.15												
104197-15-1	359.15												
10421-85-9	356.15												
104222-34-6	416.15												
104222-42-6	396.15												
104227-87-4	376.15												
10431-98-8	211.15												
104326-94-5	399.15												
104376-24-1	353.15												
1044-49-1	584.15												
10443-65-9	341.15												
10444-89-0	498.15												
104451-99-2	300.15												
104460-70-0	309.15												
10463-20-4	420.15												
10463-37-3	440.15												
10465-81-3	408.15												
10469-09-7	445.15												
1048-08-4	510.15												
104830-06-0	363.15												
10485-09-3	309.15												
10490-07-0	373.15												
104968-58-3	324.15												
105-05-5	230.15												
105-07-7	374.15												
105-13-5	297.15												
105-34-0	250.15												
105-36-2	235.15												
105-37-3	200.15												
105-38-4	193.15												
105-39-5	247.15												
105-43-1	231.15												
105-45-3	193.15												
105-46-4	199.81667	385.37222					0.017	0.098	289.81667				
105-53-3	223.15	472.05											
105-54-4	180.15												
105-55-5	350.15												
105-56-6	250.15												
105-57-7	173.15												
105-58-8	230.15												
105-59-9	252.15												
105-60-2	342.03889	541.48333					0.014	0.08	412.03889				
105-67-9	295.15												
105-68-0											1.4069		
105-76-0	188.15	553.15							414.15	538.15			
10502-44-0	380.15												
10516-71-9	318.15												
105184-38-1	342.15												
10520-81-7	315.15												
105250-17-7	356.15												
10531-41-6	304.15												
10531-78-9	316.15												
10541-83-0	432.15												
10543-57-4	424.15												
10544-72-6	261.95	294.25			9160						1.0012		
10544-73-7	171.15	277.65			81000								
10546-64-2	329.15												
10546-65-3	319.15												
105536-22-9	388.15												
10557-85-4	327.15												
105675-85-2	372.15												
10570-67-9	370.15												
105707-24-2	394.15												
105752-11-2	334.15												
10576-12-2	297.15												
10580-52-6	1623.15												
105812-81-5	369.15												
105931-73-5	321.15												
105942-08-3	344.15												
10599-90-3	207.15												
106-02-5	308.15												
106-14-9	348.15												
106-18-3	263.15												
106-24-1	288.15												
106-27-4	200.15												
106-30-9	207.15												
106-31-0	198.15												
106-32-1	226.15												
106-33-2	271.15												
106-35-4	234.26111	420.92778							319.26111				
106-36-5	197.15												
106-37-6	361.15												
106-38-7	301.15												
106-39-8	338.15												
106-40-1	336.15												
106-41-2	337.15												
106-42-3	286.48333	411.48333					0.011	0.07	300.37222				
106-43-4	281.15												
106-44-5	308.15	475.37222					0.011		359.26111				
106-46-7	326.48333	447.03889					0.025		338.70556				
106-47-8	343.15												
106-48-9	314.15												
106-49-0	317.03889	473.70556							359.81667				
106-50-3	419.26111	540.37222							428.70556				
106-51-4	389.15								366.48333				
106-52-5	301.15												
106-53-6	348.15												
106-54-7	323.15												
106-58-1	272.15												
106-63-8	212.15												
106-65-0	292.15												
106-68-3	250.15												
106-69-4	253.15												
106-70-7	202.15												
106-79-6	300.15												
106-87-6	164.26111	500.37222							383.15				
106-89-8	225.37222	389.81667					0.038	0.21	307.03889				
106-91-2	191.15												
106-92-3	173.15	427.03889							330.37222				
106-93-4	283.15	404.26111											
106-94-5	163.15												
106-95-6	154.15												
106-96-7	212.15												
106-97-8	134.81667	272.59444				310.2	0.016	0.084	213.15	645.15			
106-99-0	164.26111	268.70556					0.02	0.12	197.03889		1.4292		
10601-19-1	454.15												
106086-78-6	321.15												
106312-36-1	313.15												
106391-86-0	333.15												
106428-05-1	386.15												
106447-97-6	346.15												
106454-69-7	368.15												
1066-26-8					96000								
1066-35-9	162.15												
106602-80-6	245.45	394.15							403.15				
1067-08-9		391.35											
1067-09-0	291.15												
1068-22-0	438.15												
1068-57-1	337.15												
1068-90-2	371.15												
106877-32-1	343.15												
106950-18-9	366.15												
107-02-8	185.37222	325.92778					0.028	0.31	247.03889	507.15			
107-03-9	159.81667	340.37222							252.59444				
107-04-0	255.15	380.15											1.92
107-05-1	138.70556	318.15					0.029	0.111	241.48333				
107-06-2	237.59444	356.48333			-166800		0.062	0.16	286.48333				
107-07-3	205.37222	400.92778					0.049	0.159	333.15				
107-08-4	172.15												
107-10-8	190.15												
107-11-9	184.95	327.15					0.022	0.2	244.15	647.15	1.4205		0.03
107-12-0	181.48333	370.37222					0.031		275.37222				
107-13-1	190.92778	350.37222					0.03	0.17	272.03889	754.15			
107-15-3	281.48333	389.26111					0.025	0.12	307.03889		1.4565		
107-16-4	200.92778												
107-18-6	144.26111	370.05					0.025	0.18	294.26111	651.15	1.4135		0.17
107-19-7	220.92778	387.03889							309.26111		1.4322		-0.38
107-20-0		358.70556											
107-21-1	260.37222	470.92778		50500			0.032	0.153	384.26111		1.4318		
107-27-7	465.15												
107-30-2	169.81667	332.03889							273.15				
107-31-3	173.15	304.81667					0.045	0.23	254.26111				
107-35-7	578.15												
107-39-1	179.15												
107-40-4	167.15												
107-41-5	223.15	470.92778					0.013	0.074	371.48333				
107-44-8	217.15	424.65											
107-46-0	206.15												
107-49-3	273.15												
107-58-4	402.15												
107-61-9	405.15												
107-66-4	260.15												
107-81-3	177.15												
107-82-4	161.15										1.442		
107-83-5	119.15	333.43											
107-84-6	169.15												
107-85-7	213.15												
107-86-8	253.15												
107-87-9	217.15	374.81667					0.015	0.082	280.37222				
107-91-5	393.15												
107-92-6	268.15	436.15											
107-93-7	345.15												
107-94-8	312.15												
107-96-0	291.15												
107-98-2	178.15	393.15					0.016	0.138	309.26111				
1070-83-3	279.15												
107099-99-0	366.15												
1071-73-4											1.439		
1071-83-6	457.65												
1071-93-8	454.15												
1072-16-8	218.15												
1072-62-4	355.15												
1072-72-6	335.15												
1072-82-8	385.15												
1072-83-9	363.15												
1072-85-1	265.15												
1072-91-9	309.15												
1072-97-5	411.15												
1072-98-6	410.15												
1072944-24-1	474.15												
1072945-75-5	437.15												
1072952-25-0	344.15												
1072952-41-0	419.15												
1072952-53-4	485.15												
1073-06-9	265.15												
1073-26-3	323.15												
1073-38-7	328.15												
1073-67-2	257.15												
1073-72-9	359.15												
1073-91-2	407.15												
107377-07-1	401.15												
1074-24-4	346.15												
1074-51-7	310.15												
1074-86-8	414.15												
1074-88-0	361.15												
1074-98-2	409.15												
107485-64-3	458.15												
1075-35-0	385.15												
1075-38-3	232.15												
1075-49-6	415.15												
107504-08-5	438.15												
107572-07-6	346.15												
107575-60-0	438.15												
1076-74-0	360.15												
107623-21-2	324.15												
1078-19-9	352.15												
1078-28-0	337.15												
1078-61-1	411.15												
1078-71-3	225.15												
107873-03-0	331.15												
1079-21-6	374.15												
1079-66-9	288.15												
108-01-0	213.15												
108-03-2	165.37222	404.81667					0.022		308.70556				
108-05-4	179.81667	345.37222					0.026	0.134	265.37222				
108-08-7	150.15	353.6											
108-09-8		379.15							286.15				
108-10-1	188.70556	389.81667					0.012	0.08	290.92778				
108-11-2	183.15	405.92778					0.01	0.055	314.26111				
108-13-4	442.15												
108-16-7	188.15												
108-18-9	177.03889	357.03889					0.011	0.071	266.48333				
108-20-3	213.15	340.92778					0.014	0.079	245.37222				
108-21-4	204.26111	363.15					0.018	0.08	275.37222				
108-22-5	180.15												
108-24-7	200.37222	412.03889	10500	276700			0.027	0.103	322.03889	589.15	1.3906		
108-26-9	495.15												
108-29-2	242.15												
108-30-5	393.15												
108-31-6	325.71	475.37222					0.014	0.071	376.48333				
108-32-7	224.15												
108-36-1	266.15												
108-37-2	251.15												
108-38-3	225.37222	412.03889					0.011	0.07	300.92778				
108-39-4	285.37222	475.92778					0.011		359.26111				
108-41-8	225.15												
108-42-9	263.15												
108-43-0	305.15												
108-44-1	242.59444	475.92778							359.26111				
108-45-2	336.15												
108-46-3	382.03889	550.37222					0.014		400.37222				
108-47-4	213.15												
108-48-5	266.15												
108-50-9	314.15												
108-52-1	433.15												
108-59-8	211.15												
108-64-5	174.15												
108-67-8	228.15	438.15							323.15				
108-68-9	336.15												
108-69-0	283.15												
108-70-3	337.15												
108-73-6	491.15												
108-75-8	230.15												
108-77-0	420.15												
108-79-2	476.15												
108-83-8	231.48333	440.92778					0.008	0.071	322.03889				
108-84-9	209.26111	420.37222							318.15				
108-85-0	216.15												
108-86-1	242.15												
108-87-2	146.48333	374.26111			-154770		0.012	0.067	269.26111				
108-88-3	178.15	384.26111			50170		0.011	0.071	277.59444				
108-89-4	276.15												
108-90-7	227.59444	405.37222					0.013	0.096	300.92778				
108-91-8	255.37222	407.59444					0.015	0.094	304.26111				
108-93-0	298.15	434.26111							340.92778				
108-94-1	228.15	428.70556					0.011	0.094	317.03889				
108-95-2	315.92778	454.81667			-162944		0.018	0.086	352.59444				
108-96-3	418.15												
108-98-5	258.15	442.03889							328.70556				
108-99-6	255.15												
1080-44-0	421.15												
108078-14-4	425.15												
1081-34-1	365.15												
108124-17-0	456.15												
1082-85-5	429.15												
108238-41-1	506.15												
1083-48-3	344.15												
108354-78-5	401.15												
108485-13-8	426.15												
1085-12-7	321.15												
1086386-36-8	439.15												
108675-63-4	490.65												
1087-02-1	377.15												
1088-02-4	439.15												
108847-76-3	420.15												
108957-20-6	354.15												
109-00-2	400.15												
109-01-3	267.15												
109-02-4	208.15												
109-05-7	269.15												
109-06-8	203.15												
109-08-0	243.15												
109-09-1	227.15												
109-12-6	398.15												
109-21-7	181.15												
109-43-3	262.15												
109-46-6	339.15												
109-52-4	241.15								359.15				
109-55-7	203.15												
109-57-9	347.15												
109-59-1	213.15	412.59444							306.48333				
109-60-4	180.92778	374.81667					0.017	0.08	285.92778				
109-63-7		399.15											
109-64-8	239.15												
109-65-9	161.15												
109-66-0	143.15	309.26111		26430			0.015	0.078	223.70556				
109-69-3	150.15	351.65											
109-70-6	214.15												
109-73-9	223.15	350.92778					0.017	0.098	260.92778				
109-74-0	160.92778	390.92778					0.0165		289.81667				
109-76-2	261.15												
109-77-3	305.37222	492.03889							403.15				
109-78-4	227.15												
109-79-5	157.59444	371.48333							274.81667				
109-80-8	194.15												
109-83-1	268.15												
109-84-2	203.15												
109-85-3	191.15												
109-86-4	188.15	397.59444					0.018	0.14	312.03889				
109-87-5	168.15	317.03889					0.022	0.138	240.92778				
109-89-7	223.15	328.70556					0.018	0.101	247.03889				
109-92-2	158.15												
109-94-4	192.59444	327.59444					0.028	0.16	253.15	728.15	1.3609		
109-97-7	249.76	402.89							312.15		1.5085		
109-99-9	164.81667	339.26111					0.02	0.118	258.70556				
109384-19-2	336.15												
109461-41-8	309.15												
109903-35-7	414.15												
109919-26-8	304.15												
110-00-9	188.15												
110-01-0	177.15												
110-02-1	235.15												
110-03-2	362.15												
110-12-3	199.26111	417.03889					0.01	0.082	309.26111				
110-13-4	267.15												
110-15-6	460.15												
110-19-0	174.81667	390.37222					0.013	0.105	290.92778				
110-20-3	455.15												
110-38-3	253.15												
110-42-9	255.15												
110-43-0	237.59444	424.81667					0.011	0.079	312.03889				
110-44-1	407.15												
110-49-6	208.15	418.15					0.017	0.082	322.03889				
110-52-1	253.15												
110-53-2	178.15												
110-54-3	133.70556	342.03889					0.011	0.075	251.48333	513.15			
110-56-5	235.15												
110-58-7	218.15												
110-59-8	177.15												
110-60-1	300.15												
110-61-2	329.81667	538.15							405.37222				
110-62-3	181.48333	375.92778							285.37222				
110-63-4	293.15												
110-64-5	280.15												
110-65-6	329.15												
110-66-7	197.59444	399.81667							291.48333				
110-67-8	210.15												
110-69-0	244.15												
110-71-4	204.15	358.35							274.15		1.3792		
110-73-6	264.15												
110-74-7	180.25	353.75							270.15	728.15	1.377		0.83
110-77-0	173.15												
110-80-5	183.15	408.15					0.017	0.156	316.48333				
110-81-6	171.15												
110-82-7	279.81667	353.70556					0.013	0.08	255.37222				
110-83-8	169.81667	355.92778							261.48333				
110-85-0	383.15												
110-86-1	230.92778	388.70556					0.018	0.124	293.15				
110-87-2	203.15												
110-88-3	334.15												
110-89-4	266.15	379.15									1.453		
110-91-8	268.15	402.03889					0.014	0.112	309.81667				
110-93-0	206.15	446.15											
110-94-1	370.15												
110-96-3	196.15												
110-97-4	315.15												
110-99-6	416.15												
110127-07-6	329.15												
1107-00-2	519.15												
110877-64-0	379.15												
110888-15-8	353.15												
1109-15-5	401.15												
11097-69-1	283.15	663.15											
111-01-3	235.15				-871100						1.452		
111-02-4	198.15												
111-11-5	233.15												
111-13-7	257.15												
111-14-8	265.15												
111-15-9	211.48333	429.26111					0.017		324.26111				
111-16-0	377.15												
111-17-1	404.15												
111-19-3	268.15												
111-20-6	406.15									605.15			
111-21-7	223.15												
111-24-0	239.15												
111-25-1	188.15												
111-26-2	254.15												
111-27-3	221.15												
111-29-5	257.15												
111-30-8	259.26111	373.15											
111-31-9	192.59444	424.26111							293.15				
111-34-2	160.15												
111-40-0	234.26111	480.37222					0.02	0.067	370.92778				
111-41-1	245.15												
111-42-2	300.92778						0.016	0.098	410.37222				
111-43-3	151.15												
111-44-4	223.15	450.92778					0.027		328.15				
111-46-6	263.15												
111-47-7	171.15												
111-48-8	257.15												
111-49-9	236.15												
111-61-5	308.15												
111-64-8	210.15												
111-65-9	216.48333	398.70556			-250000		0.01	0.065	286.48333		1.398		
111-66-0	171.15												
111-68-2	250.15												
111-69-3	274.26111	568.15					0.017	0.05	365.92778	823.15			
111-70-6	239.15												
111-71-7	230.15												
111-76-2	195.92778	443.70556					0.011	0.127	334.81667				
111-77-3	203.15												
111-82-0	278.15												
111-83-1	218.15												
111-84-2	222.03889	423.706					0.008	0.029	304.26111				
111-85-3	215.15												
111-86-4	272.15												
111-87-5	257.15												
111-88-6	223.70556	472.03889							319.26111				
111-90-0	193.15												
111-92-2	211.15												
111-96-6	209.15												
1111-92-8	341.15												
1111-97-3	212.15												
1112-39-6	193.15												
111258-23-2	414.15												
1113-59-3	351.15												
1113-63-9	482.15												
111516-03-1	389.15												
1116-76-3	234.15												
1117-37-9	291.15												
1117-86-8	304.15												
111760-37-3	360.15												
111760-38-4	371.15												
1118-02-1	224.15												
1118-66-7	312.15												
1118-68-9	454.15												
1118-84-9	188.15												
1119-40-0	236.15												
1119-60-4	267.15												
1119-62-6	431.15												
112-04-9	293.15												
112-05-0	285.15	528.15									1.4343		
112-06-1	222.85	465.35									1.415		
112-07-2	209.81667	465.37222					0.0088	0.0854	344.26111				
112-12-9	285.15												
112-13-0	238.15												
112-15-2	248.15												
112-16-3	256.15												
112-18-5	253.15												
112-20-9	272.15												
112-24-3	238.15												
112-25-4	231.15												
112-26-5	241.15												
112-27-6	266.15												
112-29-8	243.15												
112-30-1	279.15												
112-31-2	268.15												
112-34-5	205.15												
112-36-7	229.15												
112-37-8	302.15	557.15											
112-38-9	297.15												
112-39-0	304.15												
112-40-3	263.55	489.35							347.15		1.4216		
112-41-4	236.15												
112-42-5	292.15												
112-43-6	270.15												
112-44-7	271.15												
112-47-0	346.15												
112-49-2	228.15												
112-52-7	264.15	533.15							403.15	463.15			
112-53-8	299.15												
112-54-9	285.15												
112-55-0	263.70556	520.92778							360.92778				
112-58-3	230.15												
112-59-4	233.15												
112-60-7	269.15												
112-61-8	313.15												
112-67-4	284.15												
112-71-0	278.15												
112-72-1	312.15												
112-79-8	317.15												
112-80-1	290.15	633.15											
112-82-3	290.15												
112-85-6	349.15												
112-86-7	306.95												
112-88-9	289.15												
112-89-0	301.15												
112-92-5	331.15												
112-95-8	309.63	617.25			-456070						1.4425		
1120-06-5	268.15												
1120-21-4	247.61	469.05			-326000				342.15		1.4164		
1120-28-1	321.15												
1120-36-1	261.15												
1120-48-5	287.15												
1120-49-6	310.15												
1120-71-4	303.15								385.92778				
1120-90-7	328.15												
1121-07-9	339.15												
1121-25-1	441.15												
1121-31-9	344.15												
1121-58-0	399.15												
1121-60-4	252.15												
1121-78-4	442.15												
1121-79-5	330.15												
1121-86-4	231.15												
112193-83-6	358.15												
1122-28-7	448.15												
1122-54-9	288.15												
1122-58-3	385.15	435.15											
1122-62-9	283.15	461.15							349.15				0.84
1122-71-0	306.15												
1122-72-1	304.15												
1122-91-4	330.15												
1122-96-9	375.15												
1122-97-0	286.15												
112279-60-4	348.15												
112279-61-5	366.15												
1123-00-8	285.15												
1123-25-7	311.15												
1123-63-3	355.15												
112399-50-5	308.15												
1124-04-5	344.15												
1124-05-6	342.15												
1124-11-4	358.15												
1124-33-0	434.15												
1124-39-6	312.15												
1125-21-9	293.15												
1125-60-6	402.15												
1125-78-6	335.15												
1126-46-1	316.15												
1126-79-0	254.15												
112704-79-7	485.15												
1128-05-8	337.15												
1128-54-7	310.15												
1128-61-6	327.15												
112811-65-1	388.15												
112857-70-2	310.15												
1129-26-6	385.15												
1129-28-8	317.15												
1129-30-2	353.15												
1129-35-7	340.15												
1129-37-9	401.15												
113-00-8	323.15				-56010								
113020-21-6	322.15												
113023-73-7	429.15												
113053-50-2	447.15												
1131-01-7	421.15												
1131-09-5	383.15												
1131-52-8	325.15												
1131-62-0	322.15												
113170-71-1	344.15												
1132-21-4	457.15												
1133-80-8	385.15												
1134-35-6	447.15												
113439-83-1	494.15												
113451-59-5	348.15												
1135-00-8	367.15												
1135-12-2	310.15												
1135-23-5	363.15												
1135-40-6	597.15												
113571-15-6	370.15												
113583-35-0	404.15												
1136-86-3	354.15												
1137-41-3	396.15												
1137-42-4	407.15												
1137-67-3	530.15												
1137-68-4	496.15												
113713-60-3	513.15												
113798-74-6	307.15												
1138-15-4	403.15												
1138-80-3	394.15												
1138444-37-7	375.15												
1139-52-2	356.15												
114-26-1	364.81667								422.03889				
114-83-0	403.15												
114045-96-4	440.15												
1141-45-3	378.15												
114152-19-1	319.15												
1142-15-0	410.15												
1142-19-4	346.15												
1142-20-7	358.15												
1142-39-8	377.15												
1143-38-0	452.15												
1143-72-2	414.15												
1144-74-7	410.15												
1145-01-3	475.15												
1145-80-8	392.15												
1147-56-4	412.15												
1147-65-5	490.15												
114715-77-4	358.15												
114772-53-1	324.15												
1148-11-4	349.15												
1148-79-4	364.15												
114821-24-8	352.15												
114873-01-7	351.15												
114873-11-9	350.15												
1149-26-4	333.15												
115-18-4	245.15												
115-19-5	276.15												
115-20-8	291.15												
115-27-5	510.15												
115-29-7	379.26111												
115-77-5	535.15												
115-86-6	322.03889	686.48333							493.15				
115029-22-6	400.15												
115029-23-7	375.15												
115029-24-8	441.15												
1151-94-6	399.15												
1151-97-9	365.15												
1151767-58-6	320.15												
1152-61-0	391.15												
1152-62-1	342.15												
115377-94-1	397.15												
1155-00-6	467.15												
1155-62-0	392.15												
1156-50-9	527.15												
1157-39-7	435.15												
115754-21-7	448.15												
115761-79-0	348.15												
1159-54-2	376.15												
1159-86-0	420.15												
116-09-6	256.15												
116-16-5	271.15												
116-25-6	378.15												
116-54-1	221.15												
116-85-8	481.15												
1161-13-3	359.15												
116170-84-4	372.15												
116195-81-4	428.15												
1162-65-8	542.15												
1163-19-5	579.15												
1164-16-5	369.15												
1166-52-5	370.15												
117-08-8	529.15												
117-11-3	480.15												
117-34-0	420.15												
117-39-5	589.15												
117-78-2	564.15												
117-81-7	223.15	659.26111					0.003		488.70556				
117-84-0	248.15												
117-99-7	312.15												
1171918-06-1	311.15												
117482-84-5	343.15												
117572-79-9	395.15												
117923-34-9	283.15												
117923-35-0	315.15												
118-10-5	531.15												
118-12-7	263.15												
118-29-6	417.15												
118-41-2	443.15												
118-46-7	481.15												
